Id;Manufacturer;ProductID;LabWareType;Description;ImageLink/URL;UNSPSC;eClass;Vendor;CatalogueID;WellCount;ColumnCount;RowCount;LabwareLength/mm;LabwareWidth/mm;LabwareHeight/mm;Mass/g;LabwareMaterial;SurfaceTreatment;Color;WellVolume/ul;A1Position/(col,row);WellDiameter/mm;WellColDistance/mm;WellRowDistance/mm;WellDepth/mm;WellShape;WellBottomShape;Liddable/bool;Lid/((Manufacturer, ProdID));Applications;AcceptableLids
res-mw8-hp;Axygen;res-mw8-hp;;Multiple Well Reagent Reservoir with 8-Channel Trough, High Profile;;;;;;8;1;8;173.1;124.1;43.8;;;;;32000;;;;;39.1;;;;;cover, dispense-destination, incubate, liquid_handle, uncover;universal
mtp_384_virtual-well-1-flat;Thermo;140156;;384-virtual-well Nunc™ OmniTray™ Single-Well Plate;;;;;;384;24;16;174.1;125.1;14.5;;;;;80;;;;;11.43;;;;;colonize, image_plate, echo_dest, incubate, provision, cover, uncover;universal
mtp_96_micronic;Micronic;MP51211;;Micronic 96-4 RACK for individual 1.4 mL tubes;;;;;;96;12;8;175.1;126.1;45;;;;;1000;;;;;42;;;;;dispense, dispense-destination, liquid_handle, pipette, incubate;
mtp_384_ubottom-clear-polypropylene-nunc-264573;ThermoFisher;264573;;Nunc 384-Well Polypropylene U-Bottom Natural Color Storage Microplate;;;;;;384;24;16;176.1;127.1;14.4;;;;;120;;;;;11.7;;;;;absorbance, cover, dispense, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, provision, seal, spectrophotometry, spin, uncover, unseal, lcmrm;standard, universal, low_evaporation, ultra-clear, foil
mtp_384_echo-ldv;Labcyte;LP-0200;;384-well Echo low dead volume plate;;;;;;384;24;16;177.1;128.1;10.48;;;;;14;;;;;5.1;;;;;magnetic_separate, incubate, seal, image_plate, miniprep_source, maxiprep_source, maxiprep_destination, stamp, dispense, dispense-destination, spin, magnetic_transfer_deep, thermocycle, qrt_thermocycle, sanger_sequence, miniprep_destination, flash_freeze, echo_dest, magnetic_transfer_pcr, absorbance, cover, fluorescence, luminescence, pipette, uncover, colonize, echo_source, sanger_sequence_primer, bluewash;universal, foil, ultra-clear
mtp_384_round-black-black-lv-nbs;Corning;4514;;Corning 4514 384-well Low Volume Black Round Bottom Polystyrene NBS Microplate;;;;;;384;24;16;178.1;129.1;14.22;;;;;35;;;;;6.58;;;;;cover, deseal, dispense, dispense-destination, echo_dest, envision, flash_freeze, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, seal, spin, stamp, uncover;universal, foil, ultra-clear
1-flat;Fisher;267060;;1-Well Nunc Non-treated Flat Bottom Plate;;;;;;1;1;1;179.1;130.1;17.3;;;;;90000;;;;;11.6;;;;;colonize, envision, image_plate, incubate;universal
mtp_96_vbottom-microwell;Fisher;249944;;96 vbottom microwell lcms plate;;;;;;96;12;8;180.1;131.1;14.7;;;;;400;;;;;10.5;;;;;absorbance, agitate, cover, dispense, dispense-destination, echo_dest, envision, evaporate, fluorescence, image, image_plate, incubate, lcms, liquid_handle, provision, seal, spectrophotometry, spin, uncover, unseal;standard, universal, ultra-clear, foil, breathable, low_evaporation
mtp_384_flat-black-black-proxiplate-plus-f;PerkinElmer;6008260;;384-well black flat-bottom polystyrene proximity plus plate;;;;;;384;24;16;181.1;132.1;14.35;;;;;28;;;;;5.3;;;;;cover, deseal, dispense, dispense-destination, echo_dest, envision, flash_freeze, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, seal, spin, stamp, uncover, unseal;universal, ultra-clear, foil
mtp_384_flat;Corning;3706;;384-Well Clear Bottom White Polystyrene Microplate;;;;;;384;24;16;182.1;133.1;14.22;;;;;90;;;;;11.43;;;;;absorbance, bluewash, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, luminescence, spin, stamp;standard, universal
24-deep;E&K Scientific;EK-2053-S;;24-Well Pyramid Bottom Plate;;;;;;24;6;4;183.1;134.1;44.04;;;;;10000;;;;;42;;;;;deseal, dispense-destination, image_plate, incubate, seal;foil, breathable
mtp_384_flat-clear-clear;Corning;3700;;384-Well Clear Flat Bottom Polystyrene High Bind Microplate;;;;;;384;24;16;184.1;135.1;14.2;;;;;80;;;;;11.43;;;;;absorbance, bluewash, cover, dispense-destination, envision, flash_freeze, fluorescence, image_plate, incubate, luminescence, pipette, seal, spin, stamp, uncover;standard, universal, low_evaporation, ultra-clear, foil
mtp_96_multi-array-sector-uncoated-MSD;Mesoscale;L15XA;;Multi-Array 96-Well SECTOR plate;;;;;;96;12;8;185.1;136.1;14.35;;;;;410;;;;;11.68;;;;;incubate, seal, stamp, spin, cover, pipette, uncover, bluewash, mesoscale_sectors600, deseal, dispense-destination, envision;low_evaporation, standard, universal, ultra-clear, foil
chemspeed-sealed-pin;Chemspeed;unknown;;Chemspeed Pin;;;;;;1;1;1;186.1;137.1;32;;;;;9000;;;;;32;;;;;provision;
mtp_384_v-clear-clear;Greiner;781280;;384-Well PP V-Bottom Microplate;;;;;;384;24;16;187.1;138.1;14.4;;;;;120;;;;;11.5;;;;;cover, deseal, dispense-destination, echo_dest, envision, image_plate, incubate, luminescence, pipette, seal, spin, stamp, uncover;universal, standard, ultra-clear, foil
mtp_1536_tc-white-corning-3727;Corning;3727;;1536 well Corning white TC treated HiBase;;;;;;1536;48;32;188.1;139.1;10.4;;;;;12.5;;;;;4.8;;;;;absorbance, cover, dispense, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, provision, seal, spectrophotometry, spin, uncover, unseal;standard, universal, low_evaporation, ultra-clear, foil
